t_index,X_cm,Y_cm
0,-0.0,-0.0
1,-0.1214,-0.097
2,-0.2434,-0.1922
3,-0.3661,-0.2857
4,-0.4894,-0.3775
5,-0.6133,-0.4676
6,-0.7377,-0.556
7,-0.8626,-0.6428
8,-0.988,-0.7279
9,-1.1138,-0.8114
10,-1.2399,-0.8933
11,-1.3663,-0.9736
12,-1.493,-1.0523
13,-1.6199,-1.1294
14,-1.747,-1.2049
15,-1.8743,-1.2789
16,-2.0016,-1.3512
17,-2.129,-1.422
18,-2.2564,-1.4911
19,-2.3838,-1.5587
20,-2.5111,-1.6246
21,-2.6382,-1.6889
22,-2.7652,-1.7515
23,-2.892,-1.8125
24,-3.0185,-1.8718
25,-3.1447,-1.9294
26,-3.2706,-1.9853
27,-3.396,-2.0394
28,-3.521,-2.0917
29,-3.6455,-2.1423
30,-3.7695,-2.1909
31,-3.8929,-2.2377
32,-4.0157,-2.2826
33,-4.1379,-2.3256
34,-4.2593,-2.3666
35,-4.3799,-2.4056
36,-4.4998,-2.4425
37,-4.6188,-2.4774
38,-4.737,-2.5101
39,-4.8542,-2.5407
40,-4.9705,-2.569
41,-5.0857,-2.5952
42,-5.1999,-2.6191
43,-5.313,-2.6406
44,-5.425,-2.6598
45,-5.5357,-2.6767
46,-5.6453,-2.6911
47,-5.7536,-2.7031
48,-5.8606,-2.7126
49,-5.9663,-2.7196
50,-6.0706,-2.7241
51,-6.1735,-2.726
52,-6.2749,-2.7254
53,-6.3749,-2.7221
54,-6.4733,-2.7162
55,-6.5701,-2.7077
56,-6.6654,-2.6965
57,-6.759,-2.6826
58,-6.851,-2.6661
59,-6.9412,-2.6468
60,-7.0297,-2.6249
61,-7.1165,-2.6003
62,-7.2014,-2.5731
63,-7.2845,-2.5431
64,-7.3657,-2.5105
65,-7.4451,-2.4753
66,-7.5225,-2.4374
67,-7.598,-2.3969
68,-7.6715,-2.3538
69,-7.743,-2.3082
70,-7.8124,-2.2601
71,-7.8798,-2.2095
72,-7.9451,-2.1564
73,-8.0083,-2.101
74,-8.0693,-2.0432
75,-8.1282,-1.9831
76,-8.1849,-1.9207
77,-8.2394,-1.8562
78,-8.2917,-1.7896
79,-8.3418,-1.7209
80,-8.3896,-1.6502
81,-8.4351,-1.5776
82,-8.4783,-1.5032
83,-8.5192,-1.4271
84,-8.5578,-1.3493
85,-8.5941,-1.2699
86,-8.628,-1.189
87,-8.6595,-1.1067
88,-8.6886,-1.0231
89,-8.7154,-0.9382
90,-8.7397,-0.8523
91,-8.7617,-0.7653
92,-8.7812,-0.6775
93,-8.7983,-0.5888
94,-8.813,-0.4994
95,-8.8252,-0.4094
96,-8.835,-0.319
97,-8.8423,-0.2281
98,-8.8472,-0.137
99,-8.8497,-0.0457
100,-8.8497,0.0457
101,-8.8472,0.137
102,-8.8423,0.2281
103,-8.835,0.319
104,-8.8252,0.4094
105,-8.813,0.4994
106,-8.7983,0.5888
107,-8.7812,0.6775
108,-8.7617,0.7653
109,-8.7397,0.8523
110,-8.7154,0.9382
111,-8.6886,1.0231
112,-8.6595,1.1067
113,-8.628,1.189
114,-8.5941,1.2699
115,-8.5578,1.3493
116,-8.5192,1.4271
117,-8.4783,1.5032
118,-8.4351,1.5776
119,-8.3896,1.6502
120,-8.3418,1.7209
121,-8.2917,1.7896
122,-8.2394,1.8562
123,-8.1849,1.9207
124,-8.1282,1.9831
125,-8.0693,2.0432
126,-8.0083,2.101
127,-7.9451,2.1564
128,-7.8798,2.2095
129,-7.8124,2.2601
130,-7.743,2.3082
131,-7.6715,2.3538
132,-7.598,2.3969
133,-7.5225,2.4374
134,-7.4451,2.4753
135,-7.3657,2.5105
136,-7.2845,2.5431
137,-7.2014,2.5731
138,-7.1165,2.6003
139,-7.0297,2.6249
140,-6.9412,2.6468
141,-6.851,2.6661
142,-6.759,2.6826
143,-6.6654,2.6965
144,-6.5701,2.7077
145,-6.4733,2.7162
146,-6.3749,2.7221
147,-6.2749,2.7254
148,-6.1735,2.726
149,-6.0706,2.7241
150,-5.9663,2.7196
151,-5.8606,2.7126
152,-5.7536,2.7031
153,-5.6453,2.6911
154,-5.5357,2.6767
155,-5.425,2.6598
156,-5.313,2.6406
157,-5.1999,2.6191
158,-5.0857,2.5952
159,-4.9705,2.569
160,-4.8542,2.5407
161,-4.737,2.5101
162,-4.6188,2.4774
163,-4.4998,2.4425
164,-4.3799,2.4056
165,-4.2593,2.3666
166,-4.1379,2.3256
167,-4.0157,2.2826
168,-3.8929,2.2377
169,-3.7695,2.1909
170,-3.6455,2.1423
171,-3.521,2.0917
172,-3.396,2.0394
173,-3.2706,1.9853
174,-3.1447,1.9294
175,-3.0185,1.8718
176,-2.892,1.8125
177,-2.7652,1.7515
178,-2.6382,1.6889
179,-2.5111,1.6246
180,-2.3838,1.5587
181,-2.2564,1.4911
182,-2.129,1.422
183,-2.0016,1.3512
184,-1.8743,1.2789
185,-1.747,1.2049
186,-1.6199,1.1294
187,-1.493,1.0523
188,-1.3663,0.9736
189,-1.2399,0.8933
190,-1.1138,0.8114
191,-0.988,0.7279
192,-0.8626,0.6428
193,-0.7377,0.556
194,-0.6133,0.4676
195,-0.4894,0.3775
196,-0.3661,0.2857
197,-0.2434,0.1922
198,-0.1214,0.097
199,-0.0,0.0
200,0.0,0.0
201,0.1245,0.1132
202,0.2482,0.2278
203,0.371,0.3436
204,0.4927,0.4607
205,0.6136,0.579
206,0.7333,0.6985
207,0.852,0.819
208,0.9696,0.9407
209,1.0861,1.0634
210,1.2013,1.187
211,1.3154,1.3117
212,1.4282,1.4372
213,1.5397,1.5636
214,1.6499,1.6908
215,1.7587,1.8188
216,1.8661,1.9475
217,1.9721,2.0769
218,2.0767,2.2069
219,2.1797,2.3375
220,2.2812,2.4686
221,2.3812,2.6002
222,2.4796,2.7322
223,2.5765,2.8646
224,2.6716,2.9974
225,2.7652,3.1304
226,2.857,3.2637
227,2.9471,3.3971
228,3.0355,3.5307
229,3.1221,3.6643
230,3.207,3.798
231,3.29,3.9317
232,3.3713,4.0653
233,3.4506,4.1987
234,3.5282,4.332
235,3.6038,4.4651
236,3.6776,4.5978
237,3.7494,4.7302
238,3.8193,4.8623
239,3.8873,4.9939
240,3.9533,5.125
241,4.0173,5.2555
242,4.0793,5.3855
243,4.1394,5.5148
244,4.1974,5.6434
245,4.2534,5.7713
246,4.3074,5.8983
247,4.3594,6.0245
248,4.4094,6.1497
249,4.4573,6.274
250,4.5031,6.3973
251,4.5469,6.5196
252,4.5886,6.6407
253,4.6283,6.7606
254,4.6659,6.8794
255,4.7015,6.9968
256,4.735,7.113
257,4.7664,7.2278
258,4.7958,7.3411
259,4.8232,7.4531
260,4.8485,7.5635
261,4.8717,7.6723
262,4.8929,7.7796
263,4.9121,7.8852
264,4.9293,7.9891
265,4.9444,8.0912
266,4.9576,8.1916
267,4.9687,8.2902
268,4.9779,8.3869
269,4.9851,8.4817
270,4.9904,8.5745
271,4.9937,8.6653
272,4.9951,8.7541
273,4.9945,8.8408
274,4.9921,8.9254
275,4.9878,9.0078
276,4.9816,9.0881
277,4.9736,9.1661
278,4.9638,9.2418
279,4.9521,9.3153
280,4.9387,9.3864
281,4.9236,9.4551
282,4.9066,9.5215
283,4.888,9.5854
284,4.8677,9.6468
285,4.8457,9.7057
286,4.8221,9.7621
287,4.7968,9.816
288,4.77,9.8673
289,4.7416,9.916
290,4.7117,9.962
291,4.6803,10.0054
292,4.6474,10.0461
293,4.613,10.084
294,4.5773,10.1193
295,4.5401,10.1518
296,4.5016,10.1816
297,4.4618,10.2085
298,4.4207,10.2327
299,4.3783,10.254
300,4.3347,10.2725
301,4.2899,10.2882
302,4.244,10.301
303,4.1969,10.3109
304,4.1488,10.3179
305,4.0996,10.3221
306,4.0494,10.3233
307,3.9982,10.3216
308,3.9461,10.317
309,3.893,10.3095
310,3.8391,10.299
311,3.7844,10.2857
312,3.7289,10.2693
313,3.6726,10.2501
314,3.6156,10.2279
315,3.5579,10.2028
316,3.4996,10.1747
317,3.4407,10.1437
318,3.3813,10.1098
319,3.3213,10.073
320,3.2608,10.0332
321,3.1999,9.9906
322,3.1386,9.945
323,3.0769,9.8966
324,3.0149,9.8453
325,2.9526,9.7911
326,2.8901,9.7341
327,2.8273,9.6742
328,2.7644,9.6116
329,2.7014,9.5461
330,2.6382,9.4778
331,2.5751,9.4068
332,2.5119,9.3331
333,2.4487,9.2566
334,2.3857,9.1774
335,2.3227,9.0955
336,2.2599,9.011
337,2.1972,8.9238
338,2.1348,8.834
339,2.0727,8.7417
340,2.0108,8.6468
341,1.9493,8.5494
342,1.8882,8.4495
343,1.8274,8.3471
344,1.7672,8.2424
345,1.7074,8.1352
346,1.6481,8.0256
347,1.5894,7.9138
348,1.5312,7.7996
349,1.4737,7.6832
350,1.4169,7.5646
351,1.3608,7.4438
352,1.3053,7.3209
353,1.2507,7.1958
354,1.1968,7.0687
355,1.1438,6.9396
356,1.0916,6.8085
357,1.0403,6.6755
358,0.9899,6.5406
359,0.9404,6.4038
360,0.892,6.2653
361,0.8445,6.125
362,0.7981,5.983
363,0.7527,5.8393
364,0.7085,5.6941
365,0.6653,5.5472
366,0.6233,5.3989
367,0.5824,5.2491
368,0.5428,5.0978
369,0.5043,4.9452
370,0.4671,4.7913
371,0.4311,4.6362
372,0.3964,4.4798
373,0.3631,4.3223
374,0.331,4.1636
375,0.3002,4.004
376,0.2709,3.8433
377,0.2429,3.6817
378,0.2163,3.5191
379,0.1911,3.3558
380,0.1673,3.1917
381,0.1449,3.0268
382,0.124,2.8613
383,0.1046,2.6952
384,0.0866,2.5285
385,0.0702,2.3614
386,0.0552,2.1937
